id,hash_id,view_url,title,user_nickname,user_hash_id,user_view_url
227557,r5r9KNdM0zkx,/app/flow/r5r9KNdM0zkx,收集各类买家秀，锤炼个人意志,本市成熟的生姜,GEV5QAANVW2AL,/app/user/GEV5QAANVW2AL
227560,JroVEWlKwEw9,/app/flow/JroVEWlKwEw9,说点关于“四条锦鲤”的趣事？,键圈韭菜皇,m70EQz9jelJmmz,/app/user/m70EQz9jelJmmz
227519,r80vyJp6Xzdx,/app/flow/r80vyJp6Xzdx,发着玩一下，感觉挺有意思的，“不买别问，已读不回拉黑”对人不对己的是这个👍🏻,出远门的Goose🦢,EQGZRle89kVp5,/app/user/EQGZRle89kVp5
227529,Oz1pPJzY1qO6,/app/flow/Oz1pPJzY1qO6,化身为边界黑子了，龙年厂瑕本来就多，在我把所以瑕疵单个标出来后，仍然要求换货or推荐退货，问题来了，换货后怎么保证没有厂瑕？继续换？客户时间很多吗？我都把瑕疵全标出来了，为什么不能直接补发,无忧,0JbZZGanjjAjEe,/app/user/0JbZZGanjjAjEe
227508,NME0Nb6pJJqr,/app/flow/NME0Nb6pJJqr,"关于PoPom外设上门真实的后续情况说明
在叔叔的见证下，我们发现是因为平台客服转述我的诉求诉的意思有很大偏差，导致PoPom外设认为我要吞货，大概意思就是，把我说的“我肯定是要货的，不过要等你们平台先处罚完商家，我再重新下单。”转述成了“我只要货”，是的没错只有这几个字。
PoPom外设当天来的小哥是带着内胆来的，就其个人而言，我觉得态度很不错，诚意也到位了。店铺不做评价。",精神状态异常,1wYq6YEmxo8Wj8,/app/user/1wYq6YEmxo8Wj8
227481,dAE1Ag3WgWP9,/app/flow/dAE1Ag3WgWP9,"发一个抽象的事情 ENCE 出的AB80 Wooting80外壳
开团时间很早 付款文档页面说了发货时间2024年12月中旬
现在东西已经拖了差不多一个月了 
玩家三番五次在群里催 
我没素质 我脾气不好 直接就移除群聊
各种踢皮球
图上面：外壳毛刺、上色问题、工人问题、包装问题，难道这些事情是由消费者上车的玩家买单的吗？
怎么着，现在开团都是 先收完钱 钱攒够了再去开工吗？
ENCE挺有意思的",凛寒e9,Rrx0OLKGqVRKGG,/app/user/Rrx0OLKGqVRKGG
227423,YEMyWXZzGXd1,/app/flow/YEMyWXZzGXd1,"年尾了碰见个老鼠跑单哥，从12月27号下单至今，一直在等他发货，结果等来了跑单加拉黑………
 全程在购买沟通中我的态度都挺好，他说出差晚几天发货，我就等着，到第10天的时候才问了他一下什么时候方便发货，结果这人就一直已读不回，到今天突然看见我被拉黑跑单了。 
给大伙避个雷，跑路加拉黑这种下水道老鼠行为真是太小学生了，还有这哥们也蛮乐子的，我连你好友都有，你还能有这种骚操作啊？我懒得微信直接点破你，真有够小丑的，你就是我2024年玩键盘碰见的最大的笑话哈哈哈哈哈哈哈哈哈",老鼠跑单哥 孩子你无敌了,Qp671GK18olJZ,/app/user/Qp671GK18olJZ
227393,Q7pMjOwGaAWv,/app/flow/Q7pMjOwGaAWv,"有典狱长急了
抄设计就算了怎么还抄文案的啊。你这踢人速度这么快的吗。敢做不敢认是吧，之前不还在群里说不换名的吗？现在卖299的漏轴基础套件，一个亚克力盖板要一百二三，不是割韭菜吗？之前不还大言不惭说别人割韭菜？",Nante,rd0nXqVvlXlpA,/app/user/rd0nXqVvlXlpA
227379,QRVgoYdbJpgQ,/app/flow/QRVgoYdbJpgQ,"不然呢？都“公模设计”了，价格还高于雨75，不批判还指望着人们夸它物有所值？
键圈确实好割。",August Dvorak,GP7vndLa1nRB1,/app/user/GP7vndLa1nRB1
227386,5ZpYJ0OrVE9k,/app/flow/5ZpYJ0OrVE9k,"上bread75的真不怕背刺嘛

韭菜65教训还不够？
1个月后给你升级开R2
还能减100呢，良心",Shana,BKz5oj0qZ9Xlx,/app/user/BKz5oj0qZ9Xlx
227346,LKPBAgy8j5dZ,/app/flow/LKPBAgy8j5dZ,"Molly80
第一次遇到老陆这么恶心的团，做个静电容做半年多，1000多块的盘在新物集上车，一催发货就是感冒腰痛，现在发货了结果是虚空发货，顺丰输入订单号根本查不到，过13天自动收货，全款上车是在梭哈股市？",O泡果奶,PAlWoBm5wOXDk,/app/user/PAlWoBm5wOXDk
227333,R3VkVvVx0Kwb,/app/flow/R3VkVvVx0Kwb,【期待】今天要被PoPom外设上门真实了,精神状态异常,1wYq6YEmxo8Wj8,/app/user/1wYq6YEmxo8Wj8
227328,nn1EXAMqjyAp,/app/flow/nn1EXAMqjyAp,HJ客制化，花家避雷，铁面团长铭牌甩你脸上,🥳CvY,OZYK1G16OWA1Xa,/app/user/OZYK1G16OWA1Xa
227290,3p6KbaLMyOqx,/app/flow/3p6KbaLMyOqx,"年初最让我无语的套件团
你说它便宜，它顺丰到付
你说它便宜，pcb 定位板 声音棉单独收钱

我的建议是，不如type c小板也单独收费，就收99元，然后套件48小时价格500元！

这样就更便宜啦！",西瓜霜跟西瓜没关系,Dp68QJZ2nDr6zB,/app/user/Dp68QJZ2nDr6zB
227247,g6EaN3MB3G8v,/app/flow/g6EaN3MB3G8v,"典！吃瓜！
典狱长上个月隔壁群问群主做的铝型材键盘设计数据，这个月就换皮开了类似的团。
本来圈子就小，一个团长就是一个招牌，怎么自己招牌烂了不修一下就又立了个新的。",Nante,rd0nXqVvlXlpA,/app/user/rd0nXqVvlXlpA
